Study Num,Study Title (O),Authors (O),Journal (O),Volume (O),Issue (O),Pages (O),Project URL,Descriptors (O),Number of Authors (O),Number of Authors (R),1st author (O),"Citation Count, 1st author (O)",Institution 1st author (O),Senior author (O),"Citation count, senior author (O)",Institution senior author (O),1st author (R),"Citation count, 1st author (R)",Institution 1st author (R),Senior author (R),"Citation count, senior author (R)",Institution senior author (R),"Citation count, paper (O)",Unnamed: 24,"Institution prestige, 1st author (O)","Institution prestige, senior author (O)","Institution prestige, 1st author (R)","Institution prestige, senior author (R)",Number of Studies (O),Discipline (O),Number of research sites (O),Secondary data (O),Methodology expertise required (O),Opportunity for expectancy bias (O),Opportunity for lack of diligence (O),Surprising result (O),Exciting result (O),Internal conceptual replications (O),Successful conceptual replications (O),Internal direct replications (O),Successful direct replications (O),Feasibility (O),Status (R),Completion (R),Secondary (R),Contact Researcher (R),Study claim date (R),Analysis completion date (R),Coder's email (R),Replicated study number (R),Test statistic (O),N (O),Reported P-value (O),Calculated P-value (O),# Tails (O),Type of analysis (O),Type of effect (O),Description of effect (O),Effect size (O),Actual Power (O),80% power,90% power,95% power,Collect materials from authors,Planned Sample,Planned Power,Original Author's Assessment,OSC reviewer (O),Test statistic (R),N (R),P-value (R),Direction (R),# Tails (R),Type of analysis (R),Type of effect (R),Replicate (R),Power (R),Effect Size (R),OSC reviewer (R),Notes (R),Project audit complete (R),R check location (R),Degree (R),Year of highest degree (R),Current position (R),Domain expertise (R),Method expertise (R),Total publications (R),Peer-reviewed articles (R),Citations (R),Implementation quality (R),Data collection quality (R),Replication similarity (R),Differences (R),Effect similarity (R),Findings similarity (R),Difficulty of implimentation (R),Surprise of outcome (R),Dummy,Number of Research sites (R),Secondary data (R),Area of expertise (R),T_N..O.,T_Test.Statistic..O.,T_TestComparison..O.,T_df1..O.,T_df2..O.,T_Test.value..O.,T_p.comparison..O.,T_pval..O.,T_pval.recalc..O.,T_pval_USE..O.,T_sign..O.,T_r..O.,T_N..R.,T_Test.Statistic..R.,T_Test.Comparison..R.,T_df1..R.,T_df2..R.,T_Test.value..R.,T_p.comparison..R.,T_pval..R.,T_pval.recalc..R.,T_pval_USE..R.,T_sign..R.,T_r..R.,T_Comparison.effects..R.O.,Type of analysis (O).1,Type of analysis (R).1,Unnamed: 130,T_sign_O,T_sign_R,T_O_larger,T_N_O_for_tables,T_N_R_for_tables,Meta-analytic estimate (Fz),O within CI R,Meta-analysis significant
1.0,Tracing attention and the activation flow in spoken word planning using eye movements,A Roelofs,JEPLMC,34.0,2.0,353-68,https://osf.io/qwkum/,"Association Learning, Attention, Color Perception, Computer Simulation, Eye Movements, Field Dependence-Independence, Humans, Pattern Recognition, Visual, Phonetics, Reaction Time, Reading, Semantics, Verbal Behavior",1.0,1.0,Roelofs,8005.0,Radboud University Nijmegen,Roelofs,8005.0,Radboud University Nijmegen,van Rijn,5100.0,University of Groningen,van Rijn,5100.0,University of Groningen,46.0,,2.52,2.52,2.53,2.53,3.0,Cognitive,1.0,Collected themselves,Moderate expertise required,No opportunity for researcher expectations to influence results,Strong opportunity for lack of diligence to affect the results,3.75,2.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,H van Rijn,7/25/14,1-7-2015,M Kidwell,3,"F(1, 13) = 7.11",24,0.02,,,RM ANOVA,interaction,"interaction between task (picture naming, word reading) and relation (related, unrelated)effects of picture distractors on activation should be absent in word reading",__p^2 = 0.354,,18,23,27,Complete,27.0,0.95,1,M Barnett Cowan,"F(1,28) = 0.63",29.0,0.435,same,,RM ANOVA,interaction,no,0.99,__p^2 = .02,E Cremata,,1.0,https://osf.io/64pz8/,PhD or equivalent,2003.0,Associate Professor (or equivalent),Moderate Expertise,High Expertise,120.0,48.0,5080.0,was about the same quality as the original study,was slightly better than the average study,Virtually identical,"The main difference between the original and the replication study is that in the replication the RTs are quite a bit slower. This can be explained by the fact that the participants in the original study were regularly participating in similar studies, whereas for our participants this was a new type of study. This difference in RT, with the replication-participants being slower, could well explain the lack of interference.",Somewhat similar,Moderately similar,Slightly challenging,Results were extremely surprising,X,1.0,No data used was pre-existing,Cognitive,24.0,F,is,1.0,13.0,7.11,is,0.02,0.019394664,0.019394664,,0.594605285,29.0,F,is,1.0,28.0,0.63,is,0.435,0.434030725,0.434030725,,0.148340453,,ANOVA,Repeated measures ANOVA,,1.0,0.0,1.0,13.0,28.0,0.314156055,0.0,1.0
2.0,Now you see it now you dont repetition blindness for nonwords,"AL Morris, ML Still",JEPLMC,34.0,1.0,146-66,https://osf.io/rmvk5/,"Attentional Blink, Humans, Judgment, Memory, Short-Term, Pattern Recognition, Visual, Reading, Semantics, Serial Learning, Verbal Learning",2.0,1.0,Morris,240.0,Iowa State University,Morris,240.0,Iowa State University,Goodbourn,48.0,University of Sydney,Goodbourn,48.0,University of Sydney,6.0,,3.27,3.27,2.99,2.99,6.0,Cognitive,1.0,Collected themselves,No expertise required,No opportunity for researcher expectations to influence results,Slight opportunity for lack of diligence to affect the results,3.28,2.86,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,P Goodbourn,12-1-2013,11/18/14,J Cohoon,6,"F(1, 23) = 13.71",24,<0.005,,2.0,RM ANOVA,main effect,"significant repetition blindness (RB) effect for nonwords. A one-way ANOVA of nonword items, using participants as cases and condition as a within-subjects factor will measure this effect",__p^2 = .374,0.95,16,20,24,Complete,24.0,0.95,1,B Lassetter,"F(1, 23) = 1.28",24.0,0.269,same,2.0,RM ANOVA,main effect,no,0.95,__p^2 = .051,J Chandler,,1.0,https://osf.io/qg9j7/,PhD or equivalent,2013.0,Post-doc or Research Scientist,Some Expertise,High Expertise,11.0,10.0,47.0,was about the same quality as the original study,was slightly better than the average study,Extremely similar,No differences likely to have altered the effect.,Somewhat similar,Very similar,Moderately challenging,Results were somewhat surprising,X,1.0,No data used was pre-existing,Cognitive,24.0,F,is,1.0,23.0,13.71,<,0.005,0.001173471,0.001173471,,0.611120054,24.0,F,is,1.0,23.0,1.28,is,0.269,0.269558068,0.269558068,,0.229604631,,RMANOVA,One-way repeated-measures ANOVA,,1.0,0.0,1.0,23.0,23.0,0.472239584,0.0,1.0
3.0,Working memory costs of task switching,"B Liefooghe, P Barrouillet, A Vandierendonck, V Camos",JEPLMC,34.0,3.0,478-94,https://osf.io/4dvzb/,"Attention, Color Perception, Decision Making, Discrimination Learning, Functional Laterality, Humans, Memory, Short-Term, Pattern Recognition, Visual, Perceptual Masking, Psychomotor Performance, Psychophysics, Reaction Time, Size Perception",4.0,1.0,Liefooghe,1737.0,Ghent University,Vandierendonck,3191.0,Ghent University,Plessow,249.0,Dresden University of Technology,Pavel,3758.0,Dresden University of Technology,55.0,,2.57,2.57,2.09,2.09,4.0,Cognitive,1.0,Collected themselves,Slight expertise required,Slight opportunity for researcher expectations to influence results,Slight opportunity for lack of diligence to affect the results,2.5,3.0,3.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,F Plessow,8-2-2014,5/21/15,J Cohoon,4,"F(1, 24) = 5.29",25,<0.05,,2.0,MANOVA,main effect,expected low-switch lists with degraded stimuli to result in worse recall than low-switch lists with normal stimuli,__p^2 = 0.181,0.89,20,26,32,Complete,32.0,0.95,9,A van't Veer,"F(1, 31) = 1.506",32.0,0.229,opposite,,MANOVA,main effect,no,0.95,__p^2 = .046,J Cohoon,,1.0,https://osf.io/69b27/,PhD or equivalent,1980.0,Professor (or equivalent),Moderate Expertise,Moderate Expertise,248.0,57.0,3751.0,was about the same quality as the original study,was better than the average study,Extremely similar,"1. We had to reprogram the experimental paradigm and did so as closely as possible to the original implementation by (a) following the details provided in the publication and (b) contacting the first author of the original study with remaining questions. Since the original task script, instructions etc. were not available anymore, small deviations are possible. 2. We implemented the study in German, whereas the original study was conducted in Dutch. This could impact the task, even though we consider this a minor issue.",Not at all similar,Moderately similar,Moderately challenging,Results were somewhat surprising,X,1.0,No data used was pre-existing,Cognitive,25.0,F,is,1.0,24.0,5.29,<,0.05,0.030449585,0.030449585,,0.424979665,32.0,F,is,1.0,31.0,1.506,is,0.229,0.228988827,0.228988827,,-0.215243835,,MANOVA,MANOVA,,1.0,0.0,1.0,24.0,31.0,0.073140202,0.0,0.0
4.0,Accelerated relearning after retrievalinduced forgetting The benefit of being forgotten,"BC Storm, EL Bjork, RA Bjork",JEPLMC,34.0,1.0,230-6,https://osf.io/8j9cg/,"Attention, Cues, Humans, Memory, Short-Term, Mental Recall, Paired-Associate Learning, Practice (Psychology)",3.0,1.0,Storm,763.0,UCLA,Bjork,16509.0,UCLA,Callahan,12.0,UC Davis,Callahan,12.0,UC Davis,39.0,,5.16,5.16,3.83,3.83,1.0,Cognitive,1.0,Collected themselves,Slight expertise required,Moderate opportunity for researcher expectations to influence results,Slight opportunity for lack of diligence to affect the results,4.0,4.33,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,S Callahan,7-11-2014,1-1-2015,M Kidwell,1,"F(1, 190) = 10.49",240,<0.001,,,mixed ANOVA,interaction,effect of relearning was significantly larger for non-practiced items from practiced categories than non-practiced items from non-practiced categories,__p^2 = 0.052,,148,196,240,Complete,196.0,0.9,1,A Rutchick,"F(1,268)=.01",270.0,0.94,opposite,,mixed ANOVA,interaction,no,0.96,__p^2 = 0.00003,M Kidwell,,1.0,https://osf.io/xsmzb/,Master's degree or equivalent,2011.0,PhD student,Some Expertise,Some Expertise,4.0,2.0,12.0,was about the same quality as the original study,was about the same as the average study,Virtually identical,"These probably don't actually matter, but nevertheless: 1)I don't know how many different research assistants the original study used, but we used quite a few (too many to look at RA as a variable). 2)Our samples had different language backgrounds, which is why I measured language ability in so many different ways to exclude people who weren't fluent. 3)It being paper & pencil and speaking the responses aloud is significantly different than other studies my sample had done before, so I'm changes in technology/data collection may have also had an effect.",Not at all similar,Moderately similar,Moderately challenging,Results were moderately surprising,X,1.0,Some data used was pre-existing,Social,240.0,F,is,1.0,190.0,10.49,<,0.001,0.00141669,0.00141669,,0.228739615,270.0,F,is,1.0,268.0,0.01,is,0.94,0.920419089,0.920419089,,-0.006108358,,ANOVA,mixed ANOVA,,1.0,0.0,1.0,190.0,268.0,0.092937316,0.0,1.0
5.0,The intermixedblocked effect in human perceptual learning is not the consequence of trial spacing,"C Mitchell, S Nash, G Hall",JEPLMC,34.0,1.0,237-42,https://osf.io/4xdkk/,"Attention, Color Perception, Discrimination Learning, Field Dependence-Independence, Humans, Memory, Short-Term, Mental Recall, Pattern Recognition, Visual, Practice (Psychology), Psychophysics",3.0,1.0,Mitchell,1387.0,University of New South Wales,Hall,2242.0,University of York,Lakens,739.0,Eindhoven University of Technology,Lakens,739.0,Eindhoven University of Technology,36.0,,2.52,2.86,1.97,1.97,2.0,Cognitive,1.0,Collected themselves,No expertise required,No opportunity for researcher expectations to influence results,Slight opportunity for lack of diligence to affect the results,3.0,3.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,D Lakens,6/22/12,1-8-2015,D Lakens,2,"F(1,31) = 8.38",32,X,,2.0,RM ANOVA,main effect,Performance on trials in which AX (or BX) was presented is expected to be better than that on trials in which CX was presented,dz = 0.51,0.8,26,35,44,Complete,48.0,0.99,9,J Matacotta,"F(1, 47) = 0.87",48.0,0.335,same,2.0,RM ANOVA,main effect,no,0.93,n_p^2 = 0.02,S Mackinnon,,1.0,https://osf.io/n539q/,PhD or equivalent,2010.0,Assistant Professor (or equivalent),Some Expertise,Slight Expertise,32.0,30.0,706.0,was about the same quality as the original study,was about the same as the average study,Very similar,"Uncertainty about the instruction between the two blocks in the pre-exposure task. Now, the second set of stimuli appeared without instruction. The original author did not give feedback on the proposal.",Moderately similar,Moderately similar,Moderately challenging,Results were moderately surprising,X,1.0,No data used was pre-existing,Cognitive,32.0,F,is,1.0,31.0,8.38,,,0.00689115,0.00689115,,0.461300742,48.0,F,is,1.0,47.0,0.87,is,0.335,0.355722382,0.355722382,,0.134811802,,repeated measures 2x2 ANOVA,within 2X2 ANOVA,,1.0,0.0,1.0,31.0,47.0,0.279055236,0.0,1.0
6.0,A singlesystem account of the relationship between priming recognition and fluency,"CJ Berry, DR Shanks, RN Henson",JEPLMC,34.0,1.0,97-111,https://osf.io/atgp5/,"Adult, Attention, Cues, Decision Making, Female, Humans, Judgment, Male, Memory, Short-Term, Models, Statistical, Psychomotor Performance, Reaction Time, Reading, Retention (Psychology), Serial Learning, Signal Detection, Psychological, Speech, Verbal Learning",3.0,2.0,Berry,232.0,University College London,Henson,22335.0,Medical Research Council,Meixner,34.0,Humboldt University of Berlin,BrÙning,0.0,Humboldt University of Berlin,37.0,,4.13,2.12,2.86,2.86,4.0,Cognitive,1.0,Collected themselves,Slight expertise required,Moderate opportunity for researcher expectations to influence results,Slight opportunity for lack of diligence to affect the results,3.66,4.33,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,J Meixner,8-7-2014,10-7-2014,M Kidwell,1,t(23) = 3.55,24,0.002,,2.0,dependent samples t-test,main effect,"Response times to misses were significantly faster than those to correct rejections, indicating that memory sources for priming and recognition are independent.",dz = 0.724,,17,23,27,Complete,30.0,0.95,1,J Matacotta,t(31) = 2.40,32.0,0.023,same,2.0,dependent samples t-test,main effect,yes,0.98,d = .424,J Goss,,1.0,https://osf.io/9ivaj/,Master's degree or equivalent,2014.0,PhD student,Slight Expertise,Some Expertise,1.0,1.0,0.0,was about the same quality as the original study,was about the same as the average study,Extremely similar,- completely different stimulus material - German words instead of English words - length of words was 5 letters instead of 4 letters,Virtually identical,Very similar,Somewhat challenging,Results were slightly surprising,X,1.0,No data used was pre-existing,Behavioral neuroscience/Comparative,24.0,t,is,1.0,23.0,3.55,is,0.002,0.001706566,0.001706566,,0.594960462,32.0,t,is,1.0,31.0,2.4,is,0.023,0.02258934,0.02258934,,0.395843475,,dependent samples t-test,within-subject t test,,1.0,1.0,1.0,23.0,31.0,0.531502453,1.0,1.0
7.0,Modeling distributions of immediate memory effects No strategies needed?,"CP Beaman, I Neath, AM Surprenant",JEPLMC,34.0,1.0,219-29,https://osf.io/6n3bm/,"Attention, Humans, Individuality, Memory, Short-Term, Models, Statistical, Phonetics, Psychomotor Performance, Semantics, Serial Learning, Verbal Learning",3.0,2.0,Beaman,1024.0,University of Reading,Beaman,1024.0,University of Reading,Kleinberg,0.0,University of Amsterdam,Kleinberg,0.0,University of Amsterdam,12.0,,2.22,2.22,3.43,3.43,2.0,Cognitive,1.0,Collected themselves,No expertise required,No opportunity for researcher expectations to influence results,No opportunity for lack of diligence to affect the results,1.33,1.67,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,B Kleinberg,12-5-2013,5/20/14,M Cohn,2,t(99) = 10.18,100,<0.05,,1.0,dependent samples t-test,main effect,Participants remembered the order of words better when the presented word lists contained only short words compared to lists that only contained long words.,d = 1.02,,10,13,15,Complete,15.0,0.95,1,C Anderson,t(14) = 0.496,15.0,0.314,same,1.0,dependent samples t-test,main effect,no,0.95,d = .13,M White,"Contact with original author was ideal. Data and additional material was supplied and question were replied to quickly. Original effect translated from F(1, 99) = 103.7, p < 0.05 to t",1.0,https://osf.io/pmhd7/,Bachelor's degree or equivalent,2014.0,Master's student,Moderate Expertise,Moderate Expertise,2.0,2.0,0.0,was about the same quality as the original study,was about the same as the average study,Very similar,Using as sample of students with different native languages (but this was discussed with and approved of by the original author).,Moderately similar,Moderately similar,Moderately challenging,Results were somewhat surprising,X,1.0,No data used was pre-existing,Quantitative,100.0,t,is,1.0,99.0,10.18,<,0.05,4.43e-17,2.22e-17,,0.715143728,15.0,t,is,1.0,14.0,0.496,is,0.314,0.627590166,0.313795083,,0.131411981,,dependent samples t-test,paired sample t-test,,1.0,0.0,1.0,99.0,14.0,0.807985553,0.0,1.0
8.0,Stereotypes and retrievalprovoked illusory source recollections,"CS Dodson, J Darragh, A Williams",JEPLMC,34.0,3.0,460-77,https://osf.io/c5pbg/,"Association Learning, Attention, Awareness, Humans, Illusions [psychology], Lawyers [psychology], Mental Recall, Physicians [psychology], Reading, Set (Psychology), Social Perception, Stereotyping",3.0,1.0,Dodson,1967.0,University of Virginia,Dodson,1967.0,University of Virginia,Calhoun-Sauls,0.0,Belmont Abbey College,Calhoun-Sauls,0.0,Belmont Abbey College,14.0,,4.36,4.36,1.51,1.51,3.0,Cognitive,1.0,Collected themselves,Slight expertise required,Slight opportunity for researcher expectations to influence results,Slight opportunity for lack of diligence to affect the results,3.0,3.75,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,A Calhoun Sauls,7/29/14,5/26/15,M Kidwell,3,"F(1, 37) = 17.03",39,<.001,,,ANOVA,interaction,more false judgments should be made regarding schema-consistent attributions in the neutral proportion condition and schema-inconsistent attributions in the conflicting proportion condition,__p^2 = .32,,22,28,32,Unavailable,32.0,0.95,1,J Goss,"F(1, 31) = .384",33.0,0.54,opposite,,ANOVA,interaction,no,0.95,__p^2 = 0.012,J Cohoon,,1.0,https://osf.io/dctav/,PhD or equivalent,1988.0,Associate Professor (or equivalent),Some Expertise,Slight Expertise,1.0,0.0,0.0,was about the same quality as the original study,was about the same as the average study,Extremely similar,"The student research assistants that I have are both undergraduate students. I suspect that grad students were involved in the original study. As such they may be less skilled/comfortable with giving the instructions and interacting with participants. We were able to get what we think were the original materials, but not the training scripts that the research assistants used.",Not at all similar,Moderately similar,Extremely challenging,Results were moderately surprising,X,1.0,No data used was pre-existing,Social,48.0,F,is,1.0,37.0,17.03,<,0.001,0.000200441,0.000200441,,0.561422534,33.0,F,is,1.0,31.0,0.384,is,0.54,0.539998592,0.539998592,,-0.110614348,,2x2x2 ANOVA,2x2x2 ANOVA,,1.0,0.0,1.0,37.0,31.0,0.295827652,0.0,1.0
10.0,Acrossnotation automatic numerical processing,"D Ganor-Stern, J Tzelgov",JEPLMC,34.0,2.0,430-7,https://osf.io/vmipw/,"Association Learning, Attention, Automatism [psychology], Comprehension, Discrimination (Psychology), Humans, Multilingualism, Paired-Associate Learning, Pattern Recognition, Visual, Problem Solving, Psychophysics, Reaction Time, Size Perception",2.0,1.0,Ganor-Stern,486.0,Achva Academic College,Tzelgov,3059.0,Achva Academic College,Shaki,701.0,Ariel University,Shaki,701.0,Ariel University,51.0,,1.28,1.28,1.31,1.31,2.0,Cognitive,2.0,Collected themselves,Slight expertise required,No opportunity for researcher expectations to influence results,Slight opportunity for lack of diligence to affect the results,2.4,1.8,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,S Shaki,7/31/14,1-6-2015,J Cohoon,2,"F(1, 28) = 26.69",32,<.001,,2.0,mixed ANOVA,main effect,comparative distance effect was shown when the task required numerical matching,__p^2 = 0.488,,16,20,20,Complete,20.0,0.95,1,B Kleinberg,"F(1, 29) = 45.27",32.0,0.001,same,2.0,mixed ANOVA,main effect,yes,0.95,MSE=3574.9,E Baranski,,1.0,https://osf.io/s5e3w/,PhD or equivalent,2002.0,Assistant Professor (or equivalent),High Expertise,High Expertise,40.0,31.0,653.0,was of much higher quality than the original study,was much better than the average study,Extremely similar,none,Extremely similar,Extremely similar,Somewhat challenging,Results were slightly surprising,X,2.0,No data used was pre-existing,Cognitive,32.0,F,is,1.0,28.0,26.69,<,0.001,1.76e-05,1.76e-05,,0.698586719,32.0,F,is,1.0,29.0,45.27,is,0.001,2.21e-07,2.21e-07,,0.780725807,,ANOVA,3x2x2 mixed ANOVA,,1.0,1.0,0.0,28.0,29.0,0.957541546,1.0,1.0
11.0,Attractor dynamics and semantic neighborhood density Processing is slowed by near neighbors and speeded by distant neighbors,"D Mirman, JS Magnuson",JEPLMC,34.0,1.0,65-79,https://osf.io/rvkc5/,"Association Learning, Attention, Humans, Inhibition (Psychology), Orientation, Reaction Time, Reading, Semantics",2.0,2.0,Mirman,1002.0,University of Connecticut,Magnuson,3289.0,University of Connecticut,Bosco,323.0,Virginia Commonwealth University,Bosco,323.0,Virginia Commonwealth University,56.0,,3.16,3.16,2.38,2.38,2.0,Cognitive,1.0,Collected themselves,No expertise required,No opportunity for researcher expectations to influence results,No opportunity for lack of diligence to affect the results,2.7,3.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,F Bosco,6/26/12,9/24/12,F Bosco,2,"F(1, 21) = 17.3",22,<.001,,,RM ANOVA,main effect,"Words with many near neighbors (e.g., chicken) were associated with an increased level of processing (i.e., categorized more slowly) compared to words with few near neighbors (e.g., hyena",__p^2 = .452,,9,15,22,Complete,30.0,0.95,1,J Goss,"F (1, 29) = 8.064",30.0,0.008,same,,RM ANOVA,main effect,yes,0.99,__p^2 = .218,E LeBel,,1.0,https://osf.io/tjzqr/,PhD or equivalent,2011.0,Assistant Professor (or equivalent),Moderate Expertise,Moderate Expertise,10.0,7.0,316.0,was about the same quality as the original study,was about the same as the average study,Virtually identical,"Replication relied on a sample of business students instead of a diverse undergraduate sample, as in the original study. Replication data were collected in a large computer lab with several students at a time (rather than one at a time, as in the original study).",Moderately similar,Somewhat similar,Not at all challenging,Results were slightly surprising,X,1.0,No data used was pre-existing,Industrial/organizational,22.0,F,is,1.0,21.0,17.3,<,0.001,0.000443918,0.000443918,,0.672084167,30.0,F,is,1.0,29.0,8.064,is,0.008,0.008168915,0.008168915,,0.466443576,,within 2x2 ANOVA,within 2x2 ANOVA,,1.0,1.0,1.0,21.0,29.0,0.63427333,1.0,1.0
